nm, %R
1200.000000, 41.621995
1190.000000, 42.294783
1180.000000, 43.101753
1170.000000, 44.014557
1160.000000, 45.086614
1150.000000, 46.301998
1140.000000, 47.665727
1130.000000, 49.181745
1120.000000, 50.879355
1110.000000, 52.720097
1100.000000, 54.694091
1090.000000, 56.781766
1080.000000, 59.039896
1070.000000, 61.358520
1060.000000, 63.710985
1050.000000, 65.981661
1040.000000, 68.204750
1030.000000, 70.226067
1020.000000, 72.005234
1010.000000, 73.499330
1000.000000, 74.623469
990.000000, 75.348888
980.000000, 75.675229
970.000000, 75.580375
960.000000, 75.102520
950.000000, 74.310072
940.000000, 73.224815
930.000000, 71.939800
920.000000, 70.560686
910.000000, 69.111150
900.000000, 67.666309
890.000000, 66.316265
880.000000, 65.017097
870.000000, 63.932635
860.000000, 63.142222
850.000000, 62.879577
840.000000, 62.215654
830.000000, 62.025182
820.000000, 62.098075
810.000000, 62.528392
800.000000, 63.046871
790.000000, 63.038965
780.000000, 62.105767
770.000000, 59.283896
760.000000, 52.757385
750.000000, 42.613714
740.000000, 32.587610
730.000000, 26.328464
720.000000, 23.165342
710.000000, 21.269987
700.000000, 19.835054
690.000000, 18.457576
680.000000, 17.056370
670.000000, 15.693241
660.000000, 14.246617
650.000000, 12.838260
640.000000, 11.456176
630.000000, 10.083759
620.000000, 8.739400
610.000000, 7.461051
600.000000, 6.201796
590.000000, 5.020533
580.000000, 3.950264
570.000000, 2.968662
560.000000, 2.131185
550.000000, 1.445231
540.000000, 0.925310
530.000000, 0.564101
520.000000, 0.323596
510.000000, 0.170772
500.000000, 0.094657
490.000000, 0.043251
480.000000, 0.029407
470.000000, 0.007497
460.000000, 0.013082
450.000000, 0.016689
440.000000, 0.008589
430.000000, 0.004601
420.000000, -0.000087
410.000000, 0.000698
400.000000, 0.009962
390.000000, 0.000264
380.000000, 0.009690
370.000000, -0.004400
360.000000, 0.000363
350.000000, -0.003562
340.000000, 0.001660
330.000000, 0.007964
320.000000, 0.000863
310.000000, 0.050010
300.000000, 1.131390
