nm, %R
1200.000000, 50.549532
1190.000000, 50.884562
1180.000000, 51.267634
1170.000000, 51.670397
1160.000000, 52.096255
1150.000000, 52.573711
1140.000000, 53.090531
1130.000000, 53.628684
1120.000000, 54.211366
1110.000000, 54.842971
1100.000000, 55.475097
1090.000000, 56.160529
1080.000000, 56.880742
1070.000000, 57.603142
1060.000000, 58.355210
1050.000000, 59.075212
1040.000000, 59.859042
1030.000000, 60.626617
1020.000000, 61.386844
1010.000000, 62.158199
1000.000000, 62.882663
990.000000, 63.589511
980.000000, 64.243866
970.000000, 64.898881
960.000000, 65.500529
950.000000, 66.054094
940.000000, 66.544211
930.000000, 66.950289
920.000000, 67.388791
910.000000, 67.728630
900.000000, 68.018227
890.000000, 68.280964
880.000000, 68.399833
870.000000, 68.521928
860.000000, 68.666960
850.000000, 68.549031
840.000000, 68.622956
830.000000, 68.648852
820.000000, 68.723829
810.000000, 68.673344
800.000000, 68.461261
790.000000, 67.632118
780.000000, 65.834639
770.000000, 62.212857
760.000000, 54.750427
750.000000, 42.795979
740.000000, 30.426820
730.000000, 22.549048
720.000000, 19.205811
710.000000, 17.846743
700.000000, 17.058911
690.000000, 16.268306
680.000000, 15.366580
670.000000, 14.379888
660.000000, 13.261672
650.000000, 12.114625
640.000000, 10.962371
630.000000, 9.803694
620.000000, 8.614966
610.000000, 7.467503
600.000000, 6.286450
590.000000, 5.186847
580.000000, 4.145951
570.000000, 3.188132
560.000000, 2.364351
550.000000, 1.659550
540.000000, 1.121714
530.000000, 0.702922
520.000000, 0.431345
510.000000, 0.248926
500.000000, 0.138104
490.000000, 0.068402
480.000000, 0.054291
470.000000, 0.032515
460.000000, 0.028605
450.000000, 0.027294
440.000000, 0.023944
430.000000, 0.015104
420.000000, 0.013920
410.000000, 0.016221
400.000000, 0.014069
390.000000, 0.005110
380.000000, 0.016090
370.000000, 0.010327
360.000000, 0.008702
350.000000, 0.002010
340.000000, 0.007933
330.000000, 0.019113
320.000000, 0.007479
310.000000, -0.001083
300.000000, 0.305721
