nm, %R
1200.000000, 49.736874
1190.000000, 50.594149
1180.000000, 51.508952
1170.000000, 52.402530
1160.000000, 53.353339
1150.000000, 54.307867
1140.000000, 55.254101
1130.000000, 56.231581
1120.000000, 57.192481
1110.000000, 58.153938
1100.000000, 59.066319
1090.000000, 59.961375
1080.000000, 60.842335
1070.000000, 61.661853
1060.000000, 62.466684
1050.000000, 63.133156
1040.000000, 63.767116
1030.000000, 64.306963
1020.000000, 64.776680
1010.000000, 65.164509
1000.000000, 65.492210
990.000000, 65.738327
980.000000, 65.863363
970.000000, 65.977980
960.000000, 66.017695
950.000000, 66.040659
940.000000, 65.995093
930.000000, 65.899898
920.000000, 65.830282
910.000000, 65.767568
900.000000, 65.688418
890.000000, 65.720193
880.000000, 65.684861
870.000000, 65.663147
860.000000, 65.809922
850.000000, 65.947326
840.000000, 65.692842
830.000000, 65.953802
820.000000, 66.160859
810.000000, 66.302195
800.000000, 66.428704
790.000000, 65.828824
780.000000, 64.451526
770.000000, 61.643551
760.000000, 56.178170
750.000000, 46.924081
740.000000, 34.476276
730.000000, 23.672340
720.000000, 18.069947
710.000000, 15.856069
700.000000, 14.836132
690.000000, 14.088914
680.000000, 13.255936
670.000000, 12.360802
660.000000, 11.362741
650.000000, 10.328315
640.000000, 9.295705
630.000000, 8.253050
620.000000, 7.197830
610.000000, 6.174994
600.000000, 5.155582
590.000000, 4.202859
580.000000, 3.302637
570.000000, 2.515475
560.000000, 1.831337
550.000000, 1.256055
540.000000, 0.825755
530.000000, 0.502286
520.000000, 0.296659
510.000000, 0.146202
500.000000, 0.083752
490.000000, 0.033679
480.000000, 0.023056
470.000000, 0.003051
460.000000, -0.001570
450.000000, 0.003825
440.000000, 0.003991
430.000000, -0.001215
420.000000, -0.002436
410.000000, -0.003488
400.000000, 0.006117
390.000000, -0.001145
380.000000, -0.001600
370.000000, 0.001257
360.000000, 0.001632
350.000000, -0.005024
340.000000, 0.003321
330.000000, 0.012648
320.000000, 0.000671
310.000000, 0.039772
300.000000, 1.237391
